Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1033292,RB11,RKA730900-BX000020,ACRYLAX-7309,CA0001,F02,PP01,"2,000.000",KG,2020-01-28,2020-01-28,0001
1033328,RB11,RKA9612BT-BLK01000,ACRYLAX-9612BT,CA0004,F02,PP01,"11,100.000",KG,2020-01-28,2020-01-28,0002
1033367,RB11,UGPLR1403-DR000200,THAMOL TLR-1403,CA0001,F03,PP01,"2,008.000",KG,2020-01-28,2020-01-30,0002
1033368,RB11,UGTCOTM30-DR000250,COSMONATE TM-30,CA0001,F03,PP01,"5,000.000",KG,2020-01-28,2020-01-30,0001
1033369,RB11,UGPHR1449-DR000200,THAMOL HR-1449,CA0002,F03,PP01,"10,206.000",KG,2020-01-28,2020-01-30,0001
1033370,RB11,UGTT300JJ-DR000220,THAMATE PPG-300JJ,CA0006,F03,PP01,734.000,KG,2020-01-28,2020-01-30,0001
1033376,RB11,ENGAL2890-DR000200,ALMATEX-A-289,CA0001,F02,PP01,"2,000.000",KG,2020-01-28,2020-01-28,0001
1033380,RB11,UGMTM1917-DR000230,THAMATE-1917,CA0002,F03,PP01,"5,000.000",KG,2020-01-28,2020-01-30,0001
1033381,RB11,UGPSC1839-DR000200,THAMOL SC-1839,CA0002,F03,PP01,"1,009.710",KG,2020-01-28,2020-01-30,0004
1033382,RB11,RKBB610CT-PB000120,PROMINATE BMST-610CT,CA0010,F01,PP01,"4,000.000",KG,2020-01-28,2020-01-29,0001
