Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1033163,RB11,ERAVU8800-KY000036,STRUCT BOND VU-880,CA0001,F02,PP01,3236.00,KG,2020-01-23,2020-01-23,0001
1033236,RB11,RKV6131N3-BX000020,VINYLAX-6131N3,CM9038,F02,PP01,1106.00,KG,2020-01-23,2020-01-23,0001
1033237,RB11,RKV6131N3-BX000020,VINYLAX-6131N3,CA0001,F02,PP01,2920.00,KG,2020-01-23,2020-01-23,0001
1033272,RB11,RKBB610CT-PB000120,PROMINATE BMST-610CT,CA0008,F01,PP01,4000.00,KG,2020-01-23,2020-01-24,0001
1033273,RB11,RKOSN500A-CN000250,SN-500A,700109W,F01,PP01,1275.65,KG,2020-01-23,2020-01-25,0002
1033274,RB11,RKOSN500A-CN000250,SN-500A,700110W,F01,PP01,1275.65,KG,2020-01-23,2020-01-25,0002
1033289,RB11,RKVV60450-DR000100,VINYLAX-6045,CM9008,F02,PP01,1033.00,KG,2020-01-23,2020-01-23,0001
1033291,RB11,RKVBW3300-KY000036,BONDWOOD-3300,CA0001,F02,PP01,108.00,KG,2020-01-23,2020-01-23,0001
1033305,RB11,RKVV221G0-DR000100,VINYLAX-221G,CA0003,F02,PP01,8771.10,KG,2020-01-23,2020-01-25,0001
1033306,RB11,ENGAL2910-BLK01000,ALMATEX-A-291,CA0002,F02,PP01,10493.00,KG,2020-01-23,2020-01-25,0001
1033307,RB11,RKA506000-DR000200,ACRYLAX-506,CA0010,F02,PP01,9452.56,KG,2020-01-23,2020-01-25,0001
1033308,RB11,RKA1311H1-DR000200,ACRYLAX-1311H-10,CA0002,F02,PP01,5117.80,KG,2020-01-23,2020-01-25,0001
1033309,RB11,RKAGD282N-DR001000,ACRYLAX AGD-282N,CA0002,F02,PP01,1700.00,KG,2020-01-23,2020-01-25,0001
1033310,RB11,RKUP55000-BLK01000,U-RAMIN P-5500,CA0005,F02,PP01,4620.32,KG,2020-01-23,2020-01-25,0001
1033311,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CA0012,F02,PP01,5000.00,KG,2020-01-23,2020-01-25,0001
1033312,RB11,RKOSBBSA4-DR000080,STARBOND-BSA 4,CA0006,F02,PP01,1042.40,KG,2020-01-23,2020-01-25,0001
1033335,RB11,UGPRG1289-BLK02500,THAMOL RG-1289,CA0007,F03,PP01,10028.19,KG,2020-01-23,2020-01-25,0001
1033336,RB11,UGPV1205A-BLK01100,THAMOL VB-1205-A,CA0003,F03,PP01,5513.04,KG,2020-01-23,2020-01-25,0007
1033337,RB11,UGPMS1932-DR000200,THAMOL MS-1932,CA0002,F03,PP01,4658.50,KG,2020-01-23,2020-01-25,0001
1033338,RB11,UGTCOTM20-DR000250,COSMONATE TM-20,CA0010,F03,PP01,5640.00,KG,2020-01-23,2020-01-25,0001
1033339,RB11,UGPH1015A-BLK01000,HARD-1015-A,CA0003,F03,PP01,10004.00,KG,2020-01-23,2020-01-25,0005
1033340,RB11,UGTT300JJ-DR000220,THAMATE PPG-300JJ,CA0004,F03,PP01,1580.00,KG,2020-01-23,2020-01-25,0002
1033341,RB11,UGPSL1713-DR000200,THAMOL SL-1713,CA0002,F03,PP01,1012.28,KG,2020-01-23,2020-01-25,0001
