Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1032732,RB11,UGPSL1713-DR000200,THAMOL SL-1713,CM9010,F03,PP01,593.050,KG,2019-12-16,2019-12-18,0001
1032733,RB11,UGPY5613R-BLK02500,Y-5613  ,C10170Y,F03,PP01,"20,000.000",KG,2019-12-06,2019-12-08,0001
1032769,RB11,UGPBK009A-BLK01000,BACK-009-A,CM9028,F03,PP01,"5,103.840",KG,2019-12-16,2019-12-18,0002
1032783,RB11,UGTCOTM30-DR000250,COSMONATE TM-30,CM9016,F03,PP01,"3,000.000",KG,2019-12-19,2019-12-21,0001
1032784,RB11,UGMTM1917-DR000230,THAMATE-1917,CM9002,F03,PP01,"5,000.000",KG,2019-12-17,2019-12-19,0001
1032785,RB11,UGPHD1440-BLK01100,THAMOL HARD-1440,CM9037,F03,PP01,"10,101.600",KG,2019-12-17,2019-12-19,0001
1032786,RB11,UGPMP2164-DR000200,MP-2164(D),CM9097,F03,PP01,"1,788.000",KG,2019-12-17,2019-12-19,0002
1032787,RB11,UGMCOPM33-CN000020,COSMONATE PM-33,CM9008,F03,PP01,"1,300.000",KG,2019-12-17,2019-12-19,0001
1032797,RB11,UGPSL1960-DR000200,THAMOL SL-1960,CM9015,F03,PP01,584.100,KG,2019-12-17,2019-12-19,0002
1032798,RB11,UGPRG1818-BLK01000,THAMOL RG-1818,CM9031,F03,PP01,"5,027.590",KG,2019-12-19,2019-12-21,0004
1032799,RB11,UGTCOTM20-DR000250,COSMONATE TM-20,CM9094,F03,PP01,"5,640.000",KG,2019-12-18,2019-12-20,0001
1032801,RB11,UGMTM1917-DR000230,THAMATE-1917,CM9003,F03,PP01,"5,000.000",KG,2019-12-18,2019-12-20,0001
1032802,RB11,UGPH1015A-BLK01000,HARD-1015-A,CM9035,F03,PP01,"4,953.150",KG,2019-12-18,2019-12-20,0002
1032804,RB11,UGPMP2164-DR000200,MP-2164(D),CM9098,F03,PP01,"1,788.000",KG,2019-12-18,2019-12-20,0002
1032818,RB11,UGPSP1549-DR000200,THAMOL SP-1549,CM9012,F03,PP01,"1,579.000",KG,2019-12-18,2019-12-20,0003
1032819,RB11,UGPPP1724-DR000200,THAMOL PP-1724,CM9007,F03,PP01,582.130,KG,2019-12-18,2019-12-20,0002
1032820,RB11,UGPSL1733-DR000200,THAMOL SL-1733,CM9015,F03,PP01,606.230,KG,2019-12-18,2019-12-20,0001
1032821,RB11,UGPRG1289-BLK02500,THAMOL RG-1289,CM9068,F03,PP01,"10,084.320",KG,2019-12-17,2019-12-19,0006
1032841,RB11,UGPY5613R-BLK02500,Y-5613  ,C11110Y,F03,PP01,"20,000.000",KG,2019-12-13,2019-12-15,0001
1032855,RB11,UGMTM1917-DR000230,THAMATE-1917,CM9004,F03,PP01,"3,800.000",KG,2019-12-19,2019-12-21,0001
1032856,RB11,UGPV1205A-BLK01100,THAMOL VB-1205-A,CM9035,F03,PP01,"5,613.230",KG,2019-12-19,2019-12-21,0001
1032857,RB11,UGPAF1441-DR000200,THAMOL AF-1441,CM9006,F03,PP01,575.400,KG,2019-12-19,2019-12-21,0001
1032858,RB11,UGPWM1388-DR000200,THAMOL WM-1388,CM9004,F03,PP01,200.000,KG,2019-12-19,2019-12-21,0001
1032859,RB11,UGPPN1996-BLK01000,THAMOL PN-1996,CM9001,F03,PP01,"5,068.250",KG,2019-12-17,2019-12-19,0001
1032862,RB11,UGPRG1289-BLK02500,THAMOL RG-1289,CM9069,F03,PP01,"10,084.320",KG,2019-12-18,2019-12-20,0008
1032870,RB11,UGPUF3000-DR000200,UF-3000-P,CM9004,F03,PP01,610.000,KG,2019-12-18,2019-12-21,0001
1032871,RB11,UGPMS1932-DR000200,THAMOL MS-1932,CM9010,F03,PP01,"5,057.800",KG,2019-12-19,2019-12-21,0001
1032937,RB11,UGPY5613R-BLK02500,Y-5613  ,C11180Y,F03,PP01,"20,000.000",KG,2019-12-20,2019-12-23,0001
