Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1031016,RB11,UGPLR1400-DR000200,THAMOL TLR-1400,CJ9009,F03,PP01,"2,008.000",KG,2019-09-05,2019-09-07,0001
1031017,RB11,UGPBU908S-DR000220,THAMOL BU-908(S),CJ9007,F03,PP01,"1,759.950",KG,2019-09-05,2019-09-07,0003
1031018,RB11,UGPSD1538-DR000200,THAMOL SD-1538,CJ9016,F03,PP01,"10,065.250",KG,2019-09-05,2019-09-07,0001
1031022,RB11,UGTT300JJ-DR000220,THAMATE PPG-300JJ,CJ9062,F03,PP01,"1,580.000",KG,2019-09-05,2019-09-07,0002
1031036,RB11,UGPPC1776-DR000200,THAMOL PC-1776,CJ9003,F03,PP01,"1,025.100",KG,2019-09-05,2019-09-07,0001
