Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1031382,RB11,UGPVB443A-BLK01000,VB-443-A,CK9033,F03,PP01,"5,000.000",KG,2019-10-04,2019-10-06,0002
1031383,RB11,UGPHL4560-DR000200,THAMOL HL-456,CK9022,F03,PP01,"5,228.281",KG,2019-10-04,2019-10-06,0002
1031384,RB11,UGMMC8500-DR000230,COSMONATE MC-85,CK9014,F03,PP01,"4,820.790",KG,2019-10-04,2019-10-06,0002
1031385,RB11,UGPSD1538-DR000200,THAMOL SD-1538,CK9017,F03,PP01,"10,161.600",KG,2019-10-03,2019-10-05,0002
1031386,RB11,UGTT300JJ-DR000220,THAMATE PPG-300JJ,CK9069,F03,PP01,"1,580.000",KG,2019-10-04,2019-10-06,0002
1031388,RB11,UGPDS1844-DR000200,THAMOL DS-1844,CK9009,F03,PP01,"3,195.000",KG,2019-10-03,2019-10-05,0001
1031505,RB11,UGPSC1839-DR000200,THAMOL SC-1839,CK9012,F03,PP01,816.840,KG,2019-10-01,2019-10-03,0004
1031506,RB11,UGPPP1724-DR000200,THAMOL PP-1724,CK9006,F03,PP01,428.400,KG,2019-10-03,2019-10-05,0001
1031508,RB11,UGPRG1289-BLK02500,THAMOL RG-1289,CK9057,F03,PP01,"9,967.740",KG,2019-10-07,2019-10-09,0008
1031509,RB11,UGPHL4560-DR000200,THAMOL HL-456,CK9023,F03,PP01,"5,228.281",KG,2019-10-07,2019-10-09,0002
1031510,RB11,UGTCOTM20-DR000250,COSMONATE TM-20,CK9075,F03,PP01,"5,640.000",KG,2019-10-04,2019-10-06,0001
1031511,RB11,UGMMC8500-DR000230,COSMONATE MC-85,CK9015,F03,PP01,"4,820.790",KG,2019-10-11,2019-10-13,0002
1031512,RB11,UGPHR1333-DR000200,THAMOL HR-1333,CK9013,F03,PP01,"10,206.000",KG,2019-10-04,2019-10-06,0001
1031513,RB11,UGTT300JJ-DR000220,THAMATE PPG-300JJ,CK9070,F03,PP01,"1,580.000",KG,2019-10-07,2019-10-09,0002
1031514,RB11,UGPCR1005-DR000200,THAMOL CR-1005,CK9003,F03,PP01,204.000,KG,2019-10-02,2019-10-04,0002
1031517,RB11,UGPMS1932-DR000200,THAMOL MS-1932,CK9003,F03,PP01,958.320,KG,2019-10-02,2019-10-04,0001
1031548,RB11,UGPMS1932-DR000200,THAMOL MS-1932,CK9004,F03,PP01,"2,129.600",KG,2019-10-03,2019-10-05,0001
1031550,RB11,UGMPM3500-DR000250,COSMONATE PM-35,CK9008,F03,PP01,"2,600.000",KG,2019-10-08,2019-10-10,0001
1031551,RB11,UGPV1205A-BLK01100,THAMOL VB-1205-A,CK9029,F03,PP01,"9,895.910",KG,2019-10-07,2019-10-09,0006
1031552,RB11,UGTT300JJ-DR000220,THAMATE PPG-300JJ,CK9071,F03,PP01,"1,580.000",KG,2019-10-08,2019-10-10,0002
1031553,RB11,UGPSC1839-DR000200,THAMOL SC-1839,CK9013,F03,PP01,623.980,KG,2019-10-07,2019-10-09,0001
1031555,RB11,UGP030400-DR000200,XRF-0304,CK9008,F03,PP01,"4,400.000",KG,2019-10-08,2019-10-10,0001
1031557,RB11,UGPMP2164-DR000200,MP-2164(D),CK9079,F03,PP01,"1,788.000",KG,2019-10-17,2019-10-19,0002
1031558,RB11,UGTT300JJ-DR000220,THAMATE PPG-300JJ,CK9072,F03,PP01,"1,580.000",KG,2019-10-09,2019-10-11,0002
