Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1031242,RB11,UGMCOPM33-CN000020,COSMONATE PM-33,CJ9006,F03,PP01,"1,300.00",KG,2019-09-19,2019-09-21,1
1031309,RB11,UGPDS1844-DR000200,THAMOL DS-1844,CJ9008,F03,PP01,"3,195.00",KG,2019-09-19,2019-09-21,1
1031310,RB11,UGTCOTM20-DR000250,COSMONATE TM-20,CJ9071,F03,PP01,"5,640.00",KG,2019-09-19,2019-09-21,1
1031311,RB11,UGPHR1449-DR000200,THAMOL HR-1449,CJ9015,F03,PP01,"10,206.00",KG,2019-09-19,2019-09-21,1
1031312,RB11,UGPIF9020-DR000200,THAMOL IF-902,CJ9003,F03,PP01,587.99,KG,2019-09-19,2019-09-21,1
1031319,RB11,UGPCL1725-DR000200,THAMOL CL-1725,CJ9002,F03,PP01,"1,653.00",KG,2019-09-19,2019-09-21,1
