Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1027939,RB11,ENJAO5490-DR000200,OLESTER AO-549,CC9008,F01,PP01,"7,117.500",KG,14-03-19,16-03-19,0001
1027940,RB11,ENFL90900-DR000200,ALMATEX L9090,CC9004,F01,PP01,"7,083.200",KG,14-03-19,16-03-19,0001
1027941,RB11,ENRMB20T0-DR000200,U-VAN MB20T,CC9005,F01,PP01,"7,484.780",KG,14-03-19,16-03-19,0001
1027947,RB11,RKBB610CT-PB000120,PROMINATE BMST-610CT,CC9030,F01,PP01,"4,000.000",KG,14-03-19,16-03-19,0001
1027953,RB11,RKOSN500A-CN000250,SN-500A,790303W,F01,PP01,"1,275.650",KG,14-03-19,16-03-19,0002
1027980,RB11,RKVBW1001-DR000100,BONDWOOD-1001,CC9003,F02,PP01,"10,505.500",KG,14-03-19,16-03-19,0001
1027982,RB11,RKA950900-BLK02500,ACRYLAX-9509,CC9006,F02,PP01,"10,577.240",KG,14-03-19,16-03-19,0001
1027983,RB11,RKA506000-DR000200,ACRYLAX-506,CC9018,F02,PP01,"9,452.560",KG,14-03-19,16-03-19,0001
1027984,RB11,RKA750200-DR000200,ACRYLAX-7502,CC9004,F02,PP01,"4,470.700",KG,14-03-19,16-03-19,0001
1027985,RB11,RKA508800-DR000100,ACRYLAX-5088,CC9003,F02,PP01,"1,700.000",KG,14-03-19,16-03-19,0001
1027986,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CC9037,F02,PP01,"4,099.350",KG,14-03-19,16-03-19,0001
1027987,RB11,RKOSBBSA4-DR000080,STARBOND-BSA 4,CC9013,F02,PP01,"1,040.000",KG,14-03-19,16-03-19,0001
1027989,RB11,RKVBW3300-DR000100,BONDWOOD-3300,CC9002,F02,PP01,"2,000.000",KG,14-03-19,16-03-19,0001
1028000,RB11,RKA731300-BX000020,ACRYLAX-7313,CB9001,F02,PP01,935.000,KG,14-03-19,14-03-19,0001
1028029,RB11,UGPS1113H-DR000200,THAMOL SK-1113H,CC9009,F03,PP01,"10,298.000",KG,14-03-19,16-03-19,0002
1028030,RB11,UGTCOTM20-DR000250,COSMONATE TM-20,CC9024,F03,PP01,"5,625.000",KG,14-03-19,16-03-19,0003
1028031,RB11,UGMTM1722-DR000230,THAMATE-1722,CC9025,F03,PP01,"5,000.000",KG,14-03-19,16-03-19,0005
1028032,RB11,UGPV1205A-BLK01100,THAMOL VB-1205-A,CC9008,F03,PP01,"9,955.540",KG,14-03-19,16-03-19,0001
1028033,RB11,UGPMP2164-DR000200,MP-2164(D),CC9025,F03,PP01,"1,788.000",KG,14-03-19,16-03-19,0002
1028034,RB11,UGTT300JJ-DR000220,THAMATE PPG-300JJ,CC9020,F03,PP01,"1,580.000",KG,14-03-19,16-03-19,0002
1028043,RB11,RKVVSC032-DR000200,VINYSOL-C-032,CM8006,F02,PP01,"1,000.000",KG,14-03-19,14-03-19,0001
1028058,RB11,ENR220000-DR000200,U-VAN 220,CC9003,F01,PP01,244.040,KG,14-03-19,17-03-19,0001
1028082,RB11,RKA890700-BLK01000,ACRYLAX-8907,CC9004,F02,PP01,"2,000.000",KG,14-03-19,14-03-19,0001
1028083,RB11,UGPWM1388-DR000200,THAMOL WM-1388,CC9002,F03,PP01,45.000,KG,14-03-19,16-03-19,0001
