Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1031154,RB11,UGPC20301-DR000200,THAMOL CEP2030-1,CJ9003,F03,PP01,"2,830.880",KG,2019-09-17,2019-09-19,0001
1031225,RB11,UGPS1113H-DR000200,THAMOL SK-1113H,CJ9023,F03,PP01,"10,203.000",KG,2019-09-17,2019-09-19,0001
1031237,RB11,UGPPN1874-DR000200,THAMOL PN-1874,CJ9010,F03,PP01,"2,905.100",KG,2019-09-17,2019-09-19,0001
1031240,RB11,UGPMP2164-DR000200,MP-2164(D),CJ9076,F03,PP01,"1,788.000",KG,2019-09-17,2019-09-19,0002
1031253,RB11,UGPV1205A-BLK01100,THAMOL VB-1205-A,CJ9027,F03,PP01,"9,859.850",KG,2019-09-17,2019-09-19,0006
